,index,Rk_x,Player_x,Tm_x,Age_x,Pos_x,G_x,GS_x,Tgt_x,Rec_x,Ctch%_x,Yds_x,Y/R_x,TD_x,1D_x,Succ%_x,Lng_x,Y/Tgt_x,R/G_x,Y/G_x,Fmb_x,Player-additional,Rk_y,Player_y,Tm_y,Age_y,Pos_y,G_y,GS_y,Tgt_y,Rec_y,Ctch%_y,Yds_y,Y/R_y,TD_y,1D_y,Succ%_y,Lng_y,Y/Tgt_y,R/G_y,Y/G_y,Fmb_y,TgtPer_2022,TgtPer_2023,TgtDiff,NewTeam
0,70,123,Kendrick Bourne,NWE,27,WR,16,2,48,35,72.9%,434,12.4,1,22,54.2,41,9.0,2.2,27.1,2,BourKe00,32,Kendrick Bourne,NWE,28,WR,2,1,20,10,50.0%,93,9.3,2,4,35.0,19,4.7,5.0,46.5,0,3.0,10.0,7.0,True
1,92,212,Tutu Atwell,LAR,23,WR,13,4,35,18,51.4%,298,16.6,1,11,40.0,62,8.5,1.4,22.9,0,AtweTu00,11,Tutu Atwell,LAR,24,WR,2,2,17,13,76.5%,196,15.1,0,12,76.5,44,11.5,6.5,98.0,0,2.69,8.5,5.81,True
2,78,144,DeVante Parker,NWE,29,WR,13,11,47,31,66.0%,539,17.4,3,25,59.6,43,11.5,2.4,41.5,0,ParkDe01,100,DeVante Parker,NWE,30,WR,1,1,8,6,75.0%,57,9.5,0,3,62.5,14,7.1,6.0,57.0,0,3.62,8.0,4.38,True
3,46,71,Robert Woods,TEN,30,WR,17,15,91,53,58.2%,527,9.9,2,31,50.5,41,5.8,3.1,31.0,1,WoodRo02,23,Robert Woods,HOU,31,WR,2,2,19,12,63.2%,131,10.9,0,8,52.6,25,6.9,6.0,65.5,0,5.35,9.5,4.15,False
4,68,120,Elijah Moore,NYJ,22,WR,16,9,65,37,56.9%,446,12.1,1,22,44.6,42,6.9,2.3,27.9,1,MoorEl00,97,Elijah Moore,CLE,23,WR,2,1,16,6,37.5%,79,13.2,0,4,31.3,33,4.9,3.0,39.5,0,4.06,8.0,3.94,False
5,47,74,George Pickens,PIT,21,WR,17,12,84,52,61.9%,801,15.4,4,38,48.8,42,9.5,3.1,47.1,0,PickGe00,48,George Pickens,PIT,22,WR,2,2,17,9,52.9%,163,18.1,1,4,47.1,71,9.6,4.5,81.5,0,4.94,8.5,3.56,True
6,65,117,Nico Collins,HOU,23,WR,10,7,66,37,56.1%,481,13.0,2,21,42.4,58,7.3,3.7,48.1,0,CollNi00,12,Nico Collins,HOU,24,WR,2,1,20,13,65.0%,226,17.4,1,9,60.0,32,11.3,6.5,113.0,0,6.6,10.0,3.4,True
7,23,29,Tee Higgins,CIN,23,WR,16,14,109,74,67.9%,1029,13.9,7,47,59.6,59,9.4,4.6,64.3,0,HiggTe00,63,Tee Higgins,CIN,24,WR,2,2,20,8,40.0%,89,11.1,2,6,40.0,20,4.5,4.0,44.5,0,6.81,10.0,3.19,True
8,30,41,Jakobi Meyers,NWE,26,WR,14,13,96,67,69.8%,804,12.0,6,38,56.3,48,8.4,4.8,57.4,2,MeyeJa01,47,Jakobi Meyers,LVR,27,WR,1,1,10,9,90.0%,81,9.0,2,5,50.0,21,8.1,9.0,81.0,0,6.86,10.0,3.14,False
9,110,417,Deonte Harty,NOR,25,WR,4,0,2,2,100.0%,13,6.5,0,0,50.0,9,6.5,0.5,3.3,1,HarrDe07,119,Deonte Harty,BUF,26,WR,2,0,7,5,71.4%,13,2.6,0,1,28.6,8,1.9,2.5,6.5,0,0.5,3.5,3.0,False
