,Rk,Player,Tm,Age,Pos,G,GS,Tgt_x,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb,Player-additional,Tgt_y,TgtShare
0,1,Justin Jefferson*+,MIN,23,WR,17,17,184,128,69.6%,1809,14.1,8,80,57.6,64,9.8,7.5,106.4,0,JeffJu00,555,0.33153153153153153
1,37,Adam Thielen,MIN,32,WR,17,17,107,70,65.4%,716,10.2,6,45,49.5,36,6.7,4.1,42.1,0,ThieAd00,555,0.1927927927927928
2,54,K.J. Osborn,MIN,25,WR,17,9,90,60,66.7%,650,10.8,5,32,58.9,66,7.2,3.5,38.2,1,OsboKJ00,555,0.16216216216216217
3,107,Dalvin Cook*,MIN,27,RB,17,17,56,39,69.6%,295,7.6,2,16,41.1,64,5.3,2.3,17.4,4,CookDa01,555,0.1009009009009009
4,173,Irv Smith Jr.,MIN,24,TE,8,1,36,25,69.4%,182,7.3,2,9,44.4,17,5.1,3.1,22.8,1,SmitIr01,555,0.06486486486486487
5,208,Johnny Mundt,MIN,28,TE,17,12,21,19,90.5%,140,7.4,1,9,66.7,17,6.7,1.1,8.2,0,MundJo00,555,0.03783783783783784
6,238,Alexander Mattison,MIN,24,RB,17,0,18,15,83.3%,91,6.1,1,4,33.3,16,5.1,0.9,5.4,0,MattAl01,555,0.032432432432432434
7,280,C.J. Ham,MIN,29,FB,17,4,12,10,83.3%,86,8.6,0,7,83.3,17,7.2,0.6,5.1,0,HamxC.00,555,0.021621621621621623
8,300,Jalen Nailor,MIN,23,WR,15,0,13,9,69.2%,179,19.9,1,7,69.2,47,13.8,0.6,11.9,0,NailJa00,555,0.023423423423423424
9,312,Jalen Reagor,MIN,23,WR,17,0,13,8,61.5%,104,13.0,1,5,53.8,38,8.0,0.5,6.1,4,ReagJa00,555,0.023423423423423424
10,385,Ben Ellefson,MIN,26,TE,4,1,3,3,100.0%,26,8.7,0,2,66.7,12,8.7,0.8,6.5,0,ElleBe00,555,0.005405405405405406
11,428,Kene Nwangwu,MIN,24,RB,17,0,2,2,100.0%,21,10.5,0,1,100.0,16,10.5,0.1,1.2,0,NwanKe00,555,0.0036036036036036037
12,2,Tyreek Hill*+,MIA,28,WR,17,17,170,119,70.0%,1710,14.4,7,77,56.5,64,10.1,7.0,100.6,1,HillTy00,521,0.32629558541266795
13,28,Jaylen Waddle,MIA,24,WR,17,17,117,75,64.1%,1356,18.1,8,60,54.7,84,11.6,4.4,79.8,1,WaddJa00,521,0.22456813819577734
14,138,Mike Gesicki,MIA,27,TE,17,1,52,32,61.5%,362,11.3,5,19,48.1,32,7.0,1.9,21.3,0,GesiMi00,521,0.09980806142034548
15,143,Raheem Mostert,MIA,30,RB,16,14,42,31,73.8%,202,6.5,2,11,47.6,25,4.8,1.9,12.6,1,MostRa00,521,0.08061420345489444
16,150,Trent Sherfield,MIA,26,WR,17,4,51,30,58.8%,417,13.9,2,18,45.1,75,8.2,1.8,24.5,0,SherTr00,521,0.09788867562380038
17,236,Alec Ingold,MIA,26,FB,17,14,23,15,65.2%,105,7.0,1,4,52.2,17,4.6,0.9,6.2,0,IngoAl01,521,0.044145873320537425
18,241,Durham Smythe,MIA,27,TE,16,15,20,15,75.0%,129,8.6,1,7,55.0,26,6.5,0.9,8.1,0,SmytDu00,521,0.03838771593090211
19,266,Cedrick Wilson Jr.,MIA,27,WR,15,0,18,12,66.7%,136,11.3,0,8,61.1,21,7.6,0.8,9.1,0,WilsCe01,521,0.0345489443378119
20,291,River Cracraft,MIA,28,WR,11,0,14,9,64.3%,102,11.3,2,8,57.1,22,7.3,0.8,9.3,0,CracRi00,521,0.026871401151631478
21,365,Myles Gaskin,MIA,25,RB,4,0,6,4,66.7%,28,7.0,0,0,50.0,16,4.7,1.0,7.0,0,GaskMy00,521,0.011516314779270634
22,432,Braylon Sanders,MIA,23,WR,3,0,3,2,66.7%,17,8.5,0,0,33.3,13,5.7,0.7,5.7,1,SandBr00,521,0.005758157389635317
23,447,Salvon Ahmed,MIA,24,RB,12,0,1,1,100.0%,8,8.0,0,0,100.0,8,8.0,0.1,0.7,0,AhmeSa01,521,0.0019193857965451055
24,458,Erik Ezukanma,MIA,22,WR,1,0,1,1,100.0%,3,3.0,0,0,0.0,3,3.0,1.0,3.0,0,EzukEr00,521,0.0019193857965451055
25,494,Tanner Conner,MIA,24,TE,13,0,3,0,0.0%,0,,0,0,0.0,0,0.0,0.0,0.0,0,ConnTa00,521,0.005758157389635317
26,3,Travis Kelce*+,KAN,33,TE,17,17,152,110,72.4%,1338,12.2,12,78,63.2,52,8.8,6.5,78.7,1,KelcTr00,597,0.254606365159129
27,24,JuJu Smith-Schuster,KAN,26,WR,16,14,101,78,77.2%,933,12.0,3,47,67.3,53,9.2,4.9,58.3,3,SmitJu00,597,0.16917922948073702
28,66,Jerick McKinnon,KAN,30,RB,17,0,71,56,78.9%,512,9.1,9,28,54.9,56,7.2,3.3,30.1,1,McKiJe00,597,0.11892797319932999
29,97,Marquez Valdes-Scantling,KAN,28,WR,17,11,81,42,51.9%,687,16.4,2,32,48.1,57,8.5,2.5,40.4,0,ValdMa00,597,0.135678391959799
30,153,Noah Gray,KAN,23,TE,17,8,34,28,82.4%,299,10.7,1,14,64.7,27,8.8,1.6,17.6,0,GrayNo00,597,0.05695142378559464
31,170,Mecole Hardman,KAN,24,WR,8,5,34,25,73.5%,297,11.9,4,14,61.8,36,8.7,3.1,37.1,1,HardMe00,597,0.05695142378559464
32,186,Skyy Moore,KAN,22,WR,16,3,33,22,66.7%,250,11.4,0,13,63.6,30,7.6,1.4,15.6,3,MoorSk01,597,0.05527638190954774
33,218,Clyde Edwards-Helaire,KAN,23,RB,10,6,23,17,73.9%,151,8.9,3,11,60.9,25,6.6,1.7,15.1,0,EdwaCl00,597,0.038525963149078725
34,242,Justin Watson,KAN,26,WR,17,5,34,15,44.1%,315,21.0,2,12,44.1,67,9.3,0.9,18.5,0,WatsJu01,597,0.05695142378559464
35,256,Isiah Pacheco,KAN,23,RB,17,11,14,13,92.9%,130,10.0,0,7,64.3,32,9.3,0.8,7.6,4,PachIs00,597,0.023450586264656615
36,293,Jody Fortson,KAN,27,TE,13,1,13,9,69.2%,108,12.0,2,6,69.2,40,8.3,0.7,8.3,1,FortJo01,597,0.021775544388609715
37,403,Blake Bell,KAN,31,TE,3,1,2,2,100.0%,20,10.0,1,1,50.0,17,10.0,0.7,6.7,0,BellBl00,597,0.0033500837520938024
38,408,Michael Burton,KAN,30,FB,17,0,3,2,66.7%,11,5.5,0,0,33.3,9,3.7,0.1,0.6,0,BurtMi00,597,0.005025125628140704
39,466,Ronald Jones II,KAN,25,RB,6,0,1,1,100.0%,22,22.0,0,1,100.0,22,22.0,0.2,3.7,0,JoneRo01,597,0.0016750418760469012
40,469,Patrick Mahomes*+,KAN,27,QB,17,17,1,1,100.0%,6,6.0,0,0,100.0,6,6.0,0.1,0.4,5,MahoPa00,597,0.0016750418760469012
41,4,Stefon Diggs*,BUF,29,WR,16,16,154,108,70.1%,1429,13.2,11,74,64.3,53,9.3,6.8,89.3,1,DiggSt00,526,0.29277566539923955
42,79,Gabriel Davis,BUF,23,WR,15,15,93,48,51.6%,836,17.4,7,35,51.6,98,9.0,3.2,55.7,1,DaviGa01,526,0.17680608365019013
43,80,Dawson Knox*,BUF,26,TE,15,15,65,48,73.8%,517,10.8,6,25,60.0,45,8.0,3.2,34.5,0,KnoxDa00,526,0.12357414448669202
44,95,Isaiah McKenzie,BUF,27,WR,15,8,65,42,64.6%,423,10.1,4,27,58.5,30,6.5,2.8,28.2,0,McKeIs00,526,0.12357414448669202
45,114,Devin Singletary,BUF,25,RB,16,16,52,38,73.1%,280,7.4,1,15,53.8,22,5.4,2.4,17.5,3,SingDe00,526,0.09885931558935361
46,190,James Cook,BUF,23,RB,16,0,32,21,65.6%,180,8.6,1,5,46.9,41,5.6,1.3,11.3,1,CookJa01,526,0.060836501901140684
47,287,Khalil Shakir,BUF,22,WR,14,2,20,10,50.0%,161,16.1,1,7,40.0,31,8.1,0.7,11.5,0,ShakKh00,526,0.03802281368821293
48,306,Reggie Gilliam,BUF,25,FB,15,4,10,8,80.0%,69,8.6,1,4,70.0,14,6.9,0.5,4.6,0,GillRe00,526,0.019011406844106463
49,309,Quintin Morris,BUF,23,TE,14,1,11,8,72.7%,84,10.5,1,6,63.6,26,7.6,0.6,6.0,1,MorrQu00,526,0.02091254752851711
50,330,Jamison Crowder,BUF,29,WR,4,0,13,6,46.2%,60,10.0,0,4,46.2,16,4.6,1.5,15.0,1,CrowJa00,526,0.024714828897338403
51,372,Jake Kumerow,BUF,30,WR,6,1,7,4,57.1%,64,16.0,0,4,57.1,39,9.1,0.7,10.7,0,KumeJa00,526,0.013307984790874524
52,451,John Brown,BUF,32,WR,3,0,2,1,50.0%,42,42.0,1,1,50.0,42,21.0,0.3,14.0,0,BrowJo02,526,0.0038022813688212928
53,477,Tommy Sweeney,BUF,27,TE,5,0,1,1,100.0%,7,7.0,0,1,100.0,7,7.0,0.2,1.4,0,SweeTo00,526,0.0019011406844106464
54,499,Tanner Gentry,BUF,28,WR,3,0,1,0,0.0%,0,,0,0,0.0,0,0.0,0.0,0.0,0,GentTa00,526,0.0019011406844106464
