,Tm,Passing Leader,Passing YDS,Rushing Leader,Rushing YDS,Receiving Leader,Receiving YDS
1,ARI,Kyler Murray,2368,James Conner,782,DeAndre Hopkins,717
2,ATL,Marcus Mariota,2219,Tyler Allgeier,1035,Drake London,866
3,BAL,Lamar Jackson,2242,Lamar Jackson,764,Mark Andrews*,847
4,BUF,Josh Allen*,4283,Devin Singletary,819,Stefon Diggs*,1429
5,CAR,Sam Darnold,1143,D'Onta Foreman,914,D.J. Moore,888
6,CHI,Justin Fields,2242,Justin Fields,1143,Cole Kmet,544
7,CIN,Joe Burrow*,4475,Joe Mixon,814,Ja'Marr Chase*,1046
8,CLE,Jacoby Brissett,2608,Nick Chubb*,1525,Amari Cooper,1160
9,DAL,Dak Prescott,2860,Tony Pollard*,1007,CeeDee Lamb*,1359
10,DEN,Russell Wilson,3524,Melvin Gordon,318,Jerry Jeudy,972
11,DET,Jared Goff*,4438,Jamaal Williams,1066,Amon-Ra St. Brown*,1161
12,GNB,Aaron Rodgers,3695,Aaron Jones,1121,Allen Lazard,788
13,HOU,Davis Mills,3118,Dameon Pierce,939,Brandin Cooks,699
14,IND,Matt Ryan,3057,Jonathan Taylor,861,Michael Pittman Jr.,925
15,JAX,Trevor Lawrence*,4113,Travis Etienne,1125,Christian Kirk,1108
16,KAN,Patrick Mahomes*+,5250,Isiah Pacheco,830,Travis Kelce*+,1338
17,LAC,Justin Herbert,4739,Austin Ekeler,915,Mike Williams,895
18,LAR,Matthew Stafford,2087,Cam Akers,786,Cooper Kupp,812
19,LVR,Derek Carr*,3522,Josh Jacobs*+,1653,Davante Adams*+,1516
20,MIA,Tua Tagovailoa,3548,Raheem Mostert,891,Tyreek Hill*+,1710
21,MIN,Kirk Cousins*,4547,Dalvin Cook*,1173,Justin Jefferson*+,1809
22,NOR,Andy Dalton,2871,Alvin Kamara,897,Chris Olave,1042
23,NWE,Mac Jones,2997,Rhamondre Stevenson,1040,Jakobi Meyers,804
24,NYG,Daniel Jones,3205,Saquon Barkley*,1312,Darius Slayton,724
25,NYJ,Zach Wilson,1688,Breece Hall,463,Garrett Wilson,1103
26,PHI,Jalen Hurts*,3701,Miles Sanders*,1269,A.J. Brown*,1496
27,PIT,Kenny Pickett,2404,Najee Harris,1034,Diontae Johnson,882
28,SEA,Geno Smith*,4282,Kenneth Walker III,1050,D.K. Metcalf,1048
29,SFO,Jimmy Garoppolo,2437,Elijah Mitchell,279,Brandon Aiyuk,1015
30,TAM,Tom Brady,4694,Leonard Fournette,668,Mike Evans,1124
31,TEN,Ryan Tannehill,2536,Derrick Henry*,1538,Robert Woods,527
32,WAS,Taylor Heinicke,1859,Brian Robinson Jr.,797,Terry McLaurin*,1191
